corrida,perfil_id,n_habs_iniciales,algoritmo,exito,num_cursos,semanas_perturbadas,semanas_nominales,nodos_expandidos,tiempo_segundos
52,4,1,A*,False,0,0,0,5000,0.44469
52,4,1,Greedy,True,15,67,65,52,0.004802
53,ml_engineer,2,A*,False,0,0,0,5000,0.400691
53,ml_engineer,2,Greedy,True,13,59,60,638,0.033719
54,2,0,A*,False,0,0,0,5000,0.454599
54,2,0,Greedy,True,12,42,42,16,0.001281
55,8,3,A*,False,0,0,0,5000,0.358826
55,8,3,Greedy,True,32,176,174,233999,14.229276
56,data_scientist,3,A*,True,11,44,44,298,0.024075
56,data_scientist,3,Greedy,True,11,43,44,16,0.001416
57,1,2,A*,True,7,29,29,55,0.004944
57,1,2,Greedy,True,7,28,28,8,0.000279
58,ml_engineer,3,A*,False,0,0,0,5000,0.395633
58,ml_engineer,3,Greedy,True,13,59,60,707,0.041142
59,1,0,A*,True,7,28,29,55,0.00419
59,1,0,Greedy,True,7,27,28,8,0.000414
60,3,0,A*,True,11,42,40,1369,0.095753
60,3,0,Greedy,True,11,42,40,74,0.004553
61,ml_engineer,3,A*,False,0,0,0,5000,0.390265
61,ml_engineer,3,Greedy,True,13,63,60,708,0.042927
62,ml_engineer,1,A*,False,0,0,0,5000,0.409408
62,ml_engineer,1,Greedy,True,13,61,60,638,0.04393
63,4,5,A*,False,0,0,0,5000,0.287232
63,4,5,Greedy,True,15,67,65,53,0.00396
64,1,5,A*,True,7,31,29,55,0.002611
64,1,5,Greedy,True,7,30,28,8,0.000269
65,8,0,A*,False,0,0,0,5000,0.283618
65,8,0,Greedy,True,32,172,174,352753,25.398543
66,backend_developer,0,A*,True,10,38,39,2363,0.268206
66,backend_developer,0,Greedy,True,10,34,35,15,0.001274
67,4,1,A*,False,0,0,0,5000,0.528473
67,4,1,Greedy,True,15,65,65,52,0.007068
68,3,1,A*,True,11,40,40,1369,0.117107
68,3,1,Greedy,True,11,40,40,74,0.005783
69,11,0,A*,True,6,23,24,15,0.001138
